Week,Anchorage,Birmingham,Little Rock,Mesa,Phoenix,Scottsdale,Tempe,Tucson,Berkeley,Fresno,Irvine,Los Angeles,Oakland,Sacramento,San Diego,San Francisco,San Jose,Sunnyvale,Colorado Springs,Denver,Washington,Gainesville,Jacksonville,Miami,Orlando,Tampa,Atlanta,Roswell,Honolulu,Des Moines,Chicago,Indianapolis,Wichita,Lexington,Baton Rouge,New Orleans,Boston,Somerville,Baltimore,Grand Rapids,St Paul,Kansas City,Springfield,St Louis,Jackson,Cary,Charlotte,Durham,Greensboro,Raleigh,Lincoln,Omaha,Newark,Albuquerque,Las Vegas,Reno,Albany,Buffalo,New York,Rochester,Cleveland,Columbus,Dayton,Oklahoma City,Tulsa,Beaverton,Eugene,Portland,Philadelphia,Pittsburgh,State College,Providence,Columbia,Greenville,Knoxville,Memphis,Nashville,Austin,Dallas,Ft Worth,Houston,Irving,Lubbock,Plano,San Antonio,Salt Lake City,Arlington,Reston,Richmond,Bellevue,Seattle,Spokane,Madison,Milwaukee
106,0.279,0.213,1.025,1.757,1.251,1.6,3.296,0.767,1.245,0.732,2.345,1.043,1.889,0.352,0.98,1.21,2.501,1.516,0.49,0.058,0.566,0.912,0.148,1.074,1.174,2.017,0.793,0.746,3.232,0.594,0.743,0.7,0.514,1.106,0.972,2.947,0.351,0.897,1.211,0.262,1.11,0.281,0.188,0.371,1.245,0.566,0.396,0.657,0.251,0.783,0.155,0.472,0.701,1.522,0.45,0.546,0.237,0.672,1.306,0.279,0.986,0.706,0.589,0.655,1.448,2.956,0.754,1.092,1.462,1.383,2.33,0.553,0.369,1.329,0.981,0.796,0.703,2.247,1.587,1.717,0.75,1.127,5.468,1.724,1.761,0.198,0.447,0.853,1.336,1.195,1.081,2.733,0.827,0.507
107,0.211,0.169,0.748,2.214,1.32,1.8,1.968,0.558,0.795,4.502,1.608,1.055,0.511,1.071,1.338,0.918,3.404,0.861,0.474,0.305,0.874,0.509,0.763,0.411,0.24,0.597,0.524,0.417,1.345,0.286,0.565,0.416,1.212,1.143,0.719,0.828,0.129,0.254,1.593,0.206,0.804,0.186,0.153,0.104,1.206,0.414,0.471,0.405,1.135,1.076,0.123,0.502,0.315,2.607,1.44,0.437,0.167,1.256,0.892,0.156,0.454,0.377,0.364,0.452,0.841,0.521,0.656,0.478,0.502,0.654,1.53,0.35,0.278,0.695,0.723,0.564,0.438,2.23,1.034,2.863,2.044,6.269,4.963,1.394,0.727,0.139,1.018,0.604,0.839,0.49,0.918,0.563,0.458,0.372
108,0.169,0.141,0.603,5.33,0.377,1.635,1.613,1.473,1.779,1.253,1.022,1.147,0.886,0.407,1.553,0.913,2.799,2.245,0.277,0.703,1.231,0.353,0.578,0.237,1.666,0.378,0.651,0.783,1.356,1.331,0.503,0.272,0.321,1.132,0.581,1.252,0.178,0.222,2.635,0.169,0.626,0.814,0.129,0.06,2.42,0.318,0.96,0.289,1.091,0.411,0.102,0.619,0.218,1.512,2.31,0.368,0.135,0.6,0.671,2.123,0.505,0.793,0.264,0.356,0.602,0.591,1.914,1.373,1.256,1.441,2.474,0.579,0.228,0.482,0.429,0.455,0.32,2.737,2.388,1.704,1.951,0.853,2.345,1.171,2.228,0.298,1.758,0.519,1.406,0.507,0.714,1.713,0.251,0.233
109,0.141,0.772,0.51,1.986,0.217,1.649,0.883,0.78,3.395,0.656,3.485,1.375,1.278,1.429,0.828,1.254,1.495,2.27,0.499,0.95,0.351,0.986,0.785,0.915,0.613,0.196,0.926,1.448,1.377,1.257,1.056,1.349,0.187,1.123,0.49,0.741,0.115,0.14,0.752,0.143,1.274,1.269,0.11,0.384,0.92,1.229,0.955,0.226,0.612,0.3,0.087,1.366,0.166,1.158,0.528,0.318,0.113,0.815,0.426,0.68,0.502,0.411,0.208,0.296,0.477,1.167,0.76,1.016,1.259,1.441,2.487,0.576,0.193,0.367,0.306,0.381,0.254,1.62,0.881,1.013,0.58,1.976,7.015,2.552,0.504,0.299,1.272,0.46,1.402,0.471,0.352,0.447,0.881,0.171
110,0.122,1.588,0.446,1.062,2.548,1.4,4.344,1.551,2.338,0.454,0.932,0.453,1.491,0.266,1.127,0.611,0.502,0.877,1.022,0.494,0.38,0.515,0.832,0.256,1.551,0.135,0.534,1.426,0.934,2.386,0.223,2.073,0.132,0.692,0.428,0.537,0.415,0.085,0.74,0.125,0.897,0.405,1.188,0.185,0.554,0.826,0.537,1.008,0.425,0.858,0.076,0.881,3.933,2.731,1.497,0.281,0.096,0.473,0.653,0.431,0.344,0.362,0.174,1.983,0.4,0.394,0.985,0.537,1.854,0.542,2.536,0.341,0.17,0.302,0.241,0.331,0.6,2.925,2.222,0.752,2.39,2.824,4.43,2.344,0.341,0.197,2.171,1.929,1.46,0.255,0.259,0.293,0.932,0.137
111,0.833,0.737,4.457,0.723,1.599,1.604,1.706,0.503,3.217,3.229,1.683,1.164,0.451,0.878,2.594,2.186,1.51,2.857,0.375,0.075,0.732,0.34,2.794,0.677,1.15,0.101,0.326,0.725,1.948,0.809,0.383,0.346,0.515,2.985,0.376,0.414,0.283,0.215,0.716,0.11,0.632,0.188,0.932,0.358,0.383,0.488,0.309,0.734,0.324,0.403,0.814,0.48,1.724,1.781,1.026,0.25,0.084,0.287,0.489,0.803,0.475,1.415,0.767,1.04,0.342,1.154,0.646,0.327,0.53,1.397,3.863,1.157,0.149,1.363,0.195,1.017,0.342,1.885,0.488,1.785,1.354,2.191,2.325,1.388,1.221,0.114,2.616,4.585,0.92,0.492,0.468,0.782,0.411,0.112
112,0.442,1.421,3.27,0.551,0.904,0.961,0.907,0.764,3.195,1.472,1.695,0.423,1.045,1.014,1.023,0.904,2.902,2.194,1.94,0.658,1.47,0.256,0.754,2.89,0.307,0.081,0.634,0.726,3.719,0.46,0.199,0.988,0.233,1.23,0.338,2.113,0.167,0.885,0.724,0.098,1.193,0.753,0.454,0.362,0.295,0.35,0.192,0.417,3.439,0.402,0.802,0.323,1.432,2.537,0.962,1.811,2.824,0.754,0.486,0.802,1.331,0.735,0.404,1.793,1.375,1.17,0.918,0.494,1.479,0.908,1.763,0.459,1.091,1.122,0.952,1.049,0.532,0.831,0.485,1.063,0.77,1.369,1.506,1.012,1.67,0.08,0.569,1.285,0.667,0.993,0.239,0.794,0.835,0.976
113,0.286,1.159,5.649,0.446,0.549,0.629,0.844,1.419,3.201,5.034,0.89,0.799,0.652,1.013,0.779,0.314,1.011,1.501,0.328,0.543,0.342,0.95,0.75,0.885,0.881,0.372,0.781,2.018,0.713,0.317,0.565,0.353,0.147,0.801,3.183,1.225,0.172,0.214,0.729,0.742,0.627,1.249,0.293,0.802,2.251,2.115,0.14,0.897,2.363,0.237,0.813,0.242,1.408,1.459,0.278,3.351,0.671,0.388,0.823,1.596,0.478,0.379,0.775,1.034,1.054,0.577,0.483,0.481,0.56,1.736,1.249,0.562,1.088,1.36,1.829,1.048,1.023,1.159,0.85,0.753,0.559,5.147,1.035,0.812,1.117,0.596,1.233,0.896,1.34,1.471,0.35,0.79,0.445,0.522
114,0.211,0.659,1.89,1.935,0.444,1.579,0.459,0.497,1.722,1.632,0.609,0.974,0.24,0.44,1.019,1.388,0.824,0.8,0.187,0.103,1.072,2.761,0.487,0.669,1.17,0.242,0.491,0.708,1.333,1.33,0.203,0.666,0.107,1.081,1.894,2.178,0.161,0.213,0.631,0.385,0.526,1.758,0.214,0.17,2.256,2.105,0.11,0.748,0.744,0.778,0.813,0.192,2.133,1.055,1.374,1.776,0.689,0.251,0.792,0.787,0.262,0.721,0.773,1.037,1.391,0.563,1.79,0.793,0.917,1.082,0.996,0.569,0.792,1.115,0.516,0.763,0.28,2.804,1.174,0.591,0.778,2.664,0.802,0.681,1.215,0.28,1.239,0.697,0.831,0.501,0.349,0.794,0.445,0.528
115,0.169,0.734,1.307,5.13,0.29,1.52,0.892,0.312,0.953,0.982,2.349,1.156,1.624,1.035,1.011,0.888,0.76,1.507,0.13,0.082,1.081,3.832,0.303,0.229,0.309,0.357,0.639,0.701,1.898,1.192,0.475,0.66,0.506,0.635,1.13,1.224,0.081,0.213,0.415,0.261,1.197,0.796,0.166,0.102,1.345,0.785,0.091,0.42,1.237,0.395,0.71,0.158,0.98,0.834,1.36,1.217,0.675,0.183,0.45,0.242,0.177,0.371,0.506,1.02,0.828,0.347,1.785,0.636,2.185,0.73,0.845,0.591,1.045,0.628,0.924,0.447,0.516,2.253,2.286,0.489,0.766,1.09,0.667,0.589,1.203,1.46,1.23,0.57,0.525,3.335,0.229,0.71,0.295,0.99
