Google Flu Trends - United States,,,
Copyright 2015 Google Inc.,,,
,,,
Exported data may be used for any purpose,,,
If you choose to use the data,,,
,,,
Each week begins on the Sunday (Pacific Time) indicated for the row.,,,
Data for the current week will be updated each day until Saturday (Pacific Time).,,,
Note: To open these files in a spreadsheet application,,,
For more information,,,
,,,
Date,"Bellevue, WA","Seattle, WA","Spokane, WA"
2005-01-16,1883,3600,1450
2005-01-23,2622,2779,1487
2005-01-30,3104,3427,1689
2005-02-06,3560,3613,1870
2005-02-13,3560,4605,2493
2005-02-20,3312,4977,2607
2005-02-27,3187,3839,3238
2005-03-06,2781,2694,2996
2005-03-13,2787,2214,2710
2005-03-20,2536,1953,2413
2005-03-27,2328,1931,2156
2005-04-03,1886,1678,2166
2005-04-10,1811,1616,1986
2005-04-17,1413,1178,1807
2005-04-24,1119,903,1613
2005-05-01,993,826,1562
2005-05-08,935,693,1433
2005-05-15,836,702,1298
2005-05-22,906,728,1204
2005-05-29,900,647,1100
2005-06-05,966,684,980
2005-06-12,960,686,916
2005-06-19,998,717,864
2005-06-26,977,716,794
2005-07-03,941,588,756
2005-07-10,878,589,697
2005-07-17,789,574,641
2005-07-24,702,550,620
2005-07-31,681,517,602
2005-08-07,688,499,577
2005-08-14,640,513,548
2005-08-21,626,485,537
2005-08-28,590,438,519
2005-09-04,553,492,502
2005-09-11,627,867,529
2005-09-18,620,1216,512
2005-09-25,660,1012,495
2005-10-02,795,1587,573
2005-10-09,1002,2557,703
2005-10-16,1261,2268,1099
2005-10-23,1461,1910,1444
2005-10-30,1868,2029,1650
2005-11-06,1802,1755,1907
2005-11-13,1820,1762,1862
2005-11-20,1894,1986,1733
2005-11-27,1894,1526,1617
2005-12-04,1907,1269,1487
2005-12-11,2048,1670,1376
2005-12-18,2400,2593,1478
2005-12-25,2899,3326,1800
2006-01-01,3821,3078,2217
2006-01-08,3056,2066,2689
2006-01-15,2430,1952,2415
2006-01-22,2080,2403,2183
2006-01-29,1789,2092,1936
2006-02-05,1666,1517,1956
2006-02-12,1799,1787,2118
2006-02-19,1605,2084,2477
2006-02-26,1852,2050,2365
2006-03-05,1863,1780,2165
2006-03-12,1979,1964,2050
2006-03-19,2011,2565,2058
2006-03-26,1919,2163,2134
2006-04-02,2011,1559,2133
2006-04-09,1999,1538,2133
2006-04-16,1831,1363,2017
2006-04-23,1652,940,1755
2006-04-30,1483,887,1639
2006-05-07,1276,863,1467
2006-05-14,1122,817,1254
2006-05-21,997,671,1187
2006-05-28,911,626,1153
2006-06-04,838,651,1079
2006-06-11,795,675,940
2006-06-18,771,715,918
2006-06-25,709,707,877
2006-07-02,696,698,843
2006-07-09,697,586,786
2006-07-16,659,550,739
2006-07-23,643,479,738
2006-07-30,651,478,737
2006-08-06,627,455,764
2006-08-13,641,558,727
2006-08-20,619,534,752
2006-08-27,601,546,731
2006-09-03,579,493,686
2006-09-10,543,508,674
2006-09-17,550,564,738
2006-09-24,569,845,791
2006-10-01,623,1174,909
2006-10-08,710,1188,956
2006-10-15,730,1137,936
2006-10-22,896,1095,1059
2006-10-29,1137,1421,1316
2006-11-05,1136,1328,1263
2006-11-12,1185,1562,1301
2006-11-19,1212,1491,1232
2006-11-26,1470,1459,1265
2006-12-03,1462,1344,1240
